Data ,Valor do Indice,Perc Change,Indice Base 100,Preco Energia
1/1/2021,78.922,,100,240.63
1/2/2021,74.396,-6.08%,93.92,163.89
1/3/2021,80.913,8.05%,101.48,88.22
1/4/2021,80.122,-0.99%,100.48,108.84
1/5/2021,83.618,4.18%,104.68,205.83
1/6/2021,80.452,-3.94%,100.55,334.62
1/7/2021,78.147,-2.95%,97.59,583.88
1/8/2021,79.946,2.25%,99.78,583.88
1/9/2021,78.295,-2.11%,97.68,575.63
1/10/2021,74.371,-5.28%,92.52,249.26
1/11/2021,75.885,2.00%,94.37,88.10
1/12/2021,76.305,0.55%,94.89,66.53
1/1/2022,78.324,2.58%,97.34,59.69
1/2/2022,78.061,-0.34%,97.00,55.70
1/3/2022,85.04,8.21%,104.97,55.70
1/4/2022,83.185,-2.23%,102.63,55.70
1/5/2022,82.865,-0.39%,102.23,55.70
1/6/2022,78.786,-5.18%,96.93,55.71
1/7/2022,81.253,3.04%,99.88,66.32
1/8/2022,82.251,1.21%,101.09,76.90
1/9/2022,78.488,-4.79%,96.25,56.08
1/10/2022,83.67,6.19%,102.20,55.70
1/11/2022,80.766,-3.60%,98.52,55.70
1/12/2022,78.679,-2.65%,95.91,55.70
1/1/2023,78.411,-0.34%,95.59,69.04
1/2/2023,73.453,-6.75%,89.13,69.04
1/3/2023,74.827,1.84%,90.77,69.04
1/4/2023,79.882,6.33%,96.52,69.04
1/5/2023,83.118,3.89%,100.28,69.04
1/6/2023,91.089,8.75%,109.05,69.04
1/7/2023,90.249,-0.93%,108.04,69.04
1/8/2023,85.111,-6.04%,101.51,69.04
1/9/2023,85.443,0.39%,101.91,80.37
1/10/2023,80.531,-6.10%,95.69,74.84
1/11/2023,88.965,9.48%,104.76,84.40
1/12/2023,89.154,0.21%,104.98,95.60
